document_id,source_id,document_type,split,is_augmented,augmentation_type,image_path,annotation_path,image_width,image_height,watermark_tag,created_date
SYN-BIS-000001,SYN-BIS-000001,bis,train,False,,synthetic_doc_dataset\raw\bis\images\SYN-BIS-000001.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000001.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:57.584787+00:00
SYN-BIS-000001_blur,SYN-BIS-000001,bis,train,True,blur,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000001_blur.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000001.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:57.678163+00:00
SYN-BIS-000001_rotate,SYN-BIS-000001,bis,train,True,rotate,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000001_rotate.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000001.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:57.731068+00:00
SYN-BIS-000001_low_contrast,SYN-BIS-000001,bis,train,True,low_contrast,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000001_low_contrast.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000001.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:57.791931+00:00
SYN-BIS-000001_low_resolution,SYN-BIS-000001,bis,train,True,low_resolution,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000001_low_resolution.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000001.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:57.861821+00:00
SYN-BIS-000002,SYN-BIS-000002,bis,train,False,,synthetic_doc_dataset\raw\bis\images\SYN-BIS-000002.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000002.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:58.042536+00:00
SYN-BIS-000002_blur,SYN-BIS-000002,bis,train,True,blur,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000002_blur.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000002.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:58.120698+00:00
SYN-BIS-000002_rotate,SYN-BIS-000002,bis,train,True,rotate,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000002_rotate.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000002.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:58.155932+00:00
SYN-BIS-000002_low_contrast,SYN-BIS-000002,bis,train,True,low_contrast,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000002_low_contrast.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000002.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:58.199279+00:00
SYN-BIS-000002_low_resolution,SYN-BIS-000002,bis,train,True,low_resolution,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000002_low_resolution.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000002.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:58.256571+00:00
